Date,Revenue,Exchange_Rate_NGN_USD,Inflation_Rate_Percent
2000-01-31,524835.7076505616,414.0495933867516,12.471229116217131
2000-02-29,493086.78494144074,368.8650240089703,13.541730387773933
2000-03-31,532384.4269050346,389.5938874821362,9.042827508440316
2000-04-30,576151.4928204012,375.34995326705837,14.287508086413858
2000-05-31,488292.3312638332,370.53176215278944,12.676992814988829
2000-06-30,488293.152152541,442.48010485105124,11.169424172198397
2000-07-31,578960.6407753696,417.85077429825236,13.26556373221257
2000-08-31,538371.7364576454,365.3545202369673,16.54138571560879
2000-09-30,476526.2807032524,444.9799937716625,12.363732510116991
2000-10-31,527128.0021792982,415.36497604383044,12.496441172600672
2000-11-30,476829.1153593769,440.643105941948,11.081278200919511
2000-12-31,476713.5123214872,431.4814420961806,10.300311261070416
2001-01-31,512098.1135783017,358.5502494538964,13.66067163308849
2001-02-28,404335.9877671101,371.99094799015154,10.287832348182265
2001-03-31,413754.1083743484,437.36468025616307,12.143132474438785
2001-04-30,471885.6235379514,430.5185132716732,11.044685106469768
2001-05-31,449358.4439832788,398.9549203017926,12.957959651492784
2001-06-30,515712.3666297637,405.8663691654391,12.667324210573897
2001-07-31,454598.79622393945,463.88324478942127,14.075079888515798
2001-08-31,429384.8149332354,370.4214305582085,10.979967202290506
2001-09-30,573282.4384460778,427.3548690585019,11.460250129413257
2001-10-31,488711.1849756732,389.8903673783053,10.042472568435386
2001-11-30,503376.4102343962,389.115939838639,11.111413479847776
2001-12-31,428762.59068932716,454.93884259935953,12.754600986089704
2002-01-31,472780.8637737409,441.2708174494015,13.513977233290703
2002-02-28,505546.1294854933,440.67548180003195,10.155669351644748
2002-03-31,442450.32112888485,465.27394035771647,13.73921184021132
2002-04-30,518784.9009172836,401.05019208163793,14.711275717609901
2002-05-31,469968.0655040598,434.09764856474817,12.826869806447402
2002-06-30,485415.31251033617,384.4866621703272,15.753591625116131
2002-07-31,469914.66938853014,416.2083176244221,10.452421601792853
2002-08-31,592613.9092254469,393.49284728161575,9.510690593377166
2002-09-30,499325.1387631033,404.8497982496359,8.442559502191443
2002-10-31,447114.453552205,429.75785127184565,14.992088622978367
2002-11-30,541127.2456051594,359.0889658383264,13.308731312708115
2002-12-31,438957.8175014489,504.619363784273,11.88883065817909
2003-01-31,510443.1797502378,349.6991309250149,12.55993725263964
2003-02-28,402016.4938060112,339.2905693606134,9.749021905403247
2003-03-31,433590.6975550785,457.9055436750034,16.891503959233653
2003-04-30,509843.0617934562,439.5831346981468,12.258442363950454
2003-05-31,536923.3289997706,431.2059908526078,12.218789589209786
2003-06-30,508568.4140594985,431.41727546321397,13.451533247797384
2003-07-31,494217.585880588,399.3876613576543,12.962018463473427
2003-08-31,484944.81522053556,355.1372814257084,12.447768048558263
2003-09-30,426073.9004816286,403.79022790968634,10.419051089109375
2003-10-31,464007.7895802646,366.14191442439443,12.942936714271992
2003-11-30,476968.06145201065,448.7559866708876,15.764048992950068
2003-12-31,552856.1113109458,392.6471309248931,14.690840092309955
2004-01-31,517180.9144784231,358.7251401603744,15.186373253278795
2004-02-29,411847.9922318633,383.93070791735033,10.97756864713763
2004-03-31,516204.19846973976,420.6465727137812,10.020790359482838
2004-04-30,480745.8859791842,371.81377235980125,11.748426159800704
2004-05-31,466153.89998470206,358.8889802216784,12.11144982457739
2004-06-30,530583.8144420434,412.18436057459564,14.188383036941897
2004-07-31,551549.9761247976,412.24832855543616,8.615070740570362
2004-08-31,546564.00595581,374.6528412314435,15.059100638921228
2004-09-30,458039.12383886805,376.44808471908385,11.683984202842021
2004-10-31,484539.3812074393,411.6024968678818,11.14623786010516
2004-11-30,516563.1715701782,327.5957829251338,9.975791249479665
2004-12-31,548777.256356118,329.62681128117225,8.690286656268462
2005-01-31,476041.2881077355,364.0777889373782,13.64634116792383
2005-02-28,490717.05116680916,389.32764241440765,12.146635934376807
2005-03-31,444683.2512996986,415.5453782799002,9.420078200517892
2005-04-30,440189.6687959665,473.7678108474776,9.409842455872768
2005-05-31,540626.2911197098,442.88298116010094,11.328430601419743
2005-06-30,567812.0014285411,392.0030735018286,15.338043050578786
2005-07-31,496399.4939209833,399.04918960486555,11.48081729727279
2005-08-31,550176.6448946012,349.87353176810956,8.993714093763788
2005-09-30,518081.8012523817,399.0743432003805,11.50851387182811
2005-10-31,467744.0122697438,385.56706805399307,11.45455286050466
2005-11-30,518069.7802754207,416.1359280169045,6.606226714116857
2005-12-31,576901.8283232985,358.63845282238384,11.891410266964376
2006-01-31,498208.6980445024,425.9673257120586,11.538130939582643
2006-02-28,578232.1827907003,476.6369456501289,13.392412729626837
2006-03-31,369012.74479551276,394.5619925771571,15.69791218989069
2006-04-30,541095.1252187612,420.0855861049471,14.253130059095515
2006-05-31,504352.35341190855,434.5071995855556,11.462222618890339
2006-06-30,485049.63247670664,379.93897640570816,9.78694818251666
2006-07-31,504588.0388267751,411.20462409052084,17.146719606499722
2006-08-31,400621.5542699554,400.62962003908973,12.118436868028976
2006-09-30,489016.4056081244,404.8838049274416,12.027858583825893
2006-10-31,517855.6285755873,361.3495108072267,11.951749825779993
2006-11-30,573894.7022370758,401.22550871294715,12.39616952153571
2006-12-31,474086.48908631766,424.8999145622725,11.711279176152114
2007-01-31,459575.31985534064,472.5571803897521,10.852675986239527
2007-02-28,474912.1478207732,447.96354130426033,10.906282117519215
2007-03-31,545770.1058851037,507.65912287557785,11.934493459568003
2007-04-30,516437.55548298423,361.6326218555975,10.91315045773247
